Номер БС,Адрес,Операторы 1800 МГц,Операторы 2600 МГц,Широта,Долгота
100700,"г. Барановичи, ул. Бадака, 76а","M, V, L",M,53.121833333333,25.94766667
100701,"г. Брест, пр-т Машерова, 21-2","M, V, L",,52.086027777778,23.69705556
100702,"г. Брест, ул. Энгельса, 3","M, V, L",M,52.0932,23.68118889
100703,"г. Брест, бул. Космонавтов, 21","M, V, L",M,52.097661111111,23.69446111
100704,"г. Брест, ул. Московская, 202-5","M, V, L",,52.097991666667,23.73106389
100705,"г. Брест, ул. Кижеватова, 76","M, V, L",M,52.106605555556,23.69043056
100706,"г. Брест, ул. Строительная, 56","M, V, L",M,52.116694444444,23.73905556
100707,"г. Брест, ул. Смирнова, 66","M, V, L",,52.103144444444,23.64654444
100708,"г. Брест, ул. Катин Бор, 105","M, V, L",,52.142625,23.66875278
100709,"г. Брест, ул. Суворова, 21","M, V, L",,52.064444444444,23.74166667
100710,"г. Брест, ул. Городская, д. 60","M, V, L",,52.134268,23.732568
100711,"г. Брест, ул. Московская, 275","M, V, L",,52.099388888889,23.76957222
100713,"г. Брест, погран переход Варшавский Мост","M, V, L",M,52.073083333333,23.67116667
100716,"г. Брест, ул. Поплавского, 54","M, V, L",,52.097866060554,23.66645106
100720,"г. Брест, (д.Старые Задворцы) ул.Коммерческая, 17","M, V, L",,52.131805555556,23.77247222
100721,"г. Брест, ул. Гоздецкого, 11","M, V, L",M,52.112566666667,23.786225
100725,"г. Кобрин, ул. Пролетарская, 127","M, V, L",M,52.220069444444,24.33838333
100726,"г. Брест, ул. Суворова, 112","M, V, L",M,52.072413888889,23.76091389
100727,"г. Брест, пр-т Партизанский, 30","M, V, L",M,52.109836111111,23.75788333
100728,"г. Брест, пр-т Машерова, 75/1","M, V, L",M,52.0888,23.713925
100735,"г. Пружаны, ул. Красноармейская, 81","M, V, L",M,52.563944444444,24.48058333
100737,"г. Каменец, ул. Ленина","M, V, L",,52.403525,23.82126389
100742,"г. Ивацевичи, ул. Заводская, 33","M, V, L",,52.702111111111,25.35127778
100750,"г. Жабинка, ул. Школьная, 4","M, V, L",M,52.195994444444,24.00940556
100752,"г. Барановичи, ул. Королика, 8","M, V, L",M,53.160502777778,26.01924444
100753,"г. Барановичи, ул. Советская, 82","M, V, L",M,53.132055555556,26.01583333
100754,"г. Барановичи, ул. Ленина, 30-3","M, V, L",M,53.132027777778,26.03617778
100755,"г. Барановичи, ул. Фабричная, 7","M, V, L",M,53.147444444444,26.04477778
100757,"г. Ивацевичи, ул. Шевченко, 23","M, V, L",,52.718305555556,25.33127778
100758,"г. Барановичи, ул. Циолковского, 4","M, V, L",M,53.133583333333,26.06772222
100759,"г. Брест, ЦТП Южного Городка","M, V, L",,52.059130555556,23.73059167
100760,"г. Брест, ул. Красногвардейская, 108/2","M, V, L",,52.123633333333,23.69011944
100774,"г. Брест, ул. Луцкая, 12-1","M, V, L",M,52.078333333333,23.74438889
100775,"г. Кобрин, ул. Ленина, 6","M, V, L",M,52.211788888889,24.35723056
100776,"г. Брест, ул. Советская, 33","M, V, L",M,52.094636111111,23.69063611
100782,"г. Малорита, ул. Советская, 16","M, V, L",M,51.791877777778,24.08239444
100783,"г. Дрогичин, ул. Ленина, 204","M, V, L",,52.176944444444,25.18361111
100784,"г. Малорита, ул. Лермонтова, 10","M, V, L",M,51.790558333333,24.06979722
100785,"г. Иваново, ул. Железнодорожная, 78а","M, V, L",,52.120777751059,25.565249934338
100787,"г. Столин, ул. Ленина, 10","M, V, L",M,51.890947222222,26.84906667
100793,"г. Иваново, ул. Ленина, 13","M, V, L",,52.144677777778,25.53442222
100794,"г. Брест, ул. Белорусская, 51","M, V, L",,52.121347222222,23.65739167
100795,"г. Брест, ул. Куйбышева, 62","M, V, L",M,52.092472220358,23.69594445
100796,"г. Дрогичин, ул. Чкалова, 6","M, V, L",,52.185136111111,25.156075
100799,"г. Ганцевичи, ул. Октябрьская, 10","M, V, L",,52.761805555556,26.42602778
100932,"г. Пинск, ул. Первомайская, 191","M, V, L",M,52.146132030726,26.09136902
100933,"г. Пинск, ул. Калиновского, 18","M, V, L",,52.128725,26.03845833
100934,"г. Пинск, ул. Заслонова, 15","M, V, L",M,52.11548098892,26.10883506
100937,"г. Лунинец, ул. Красная, 1","M, V, L","M, L",52.245655555556,26.79736111
100939,"г. Пинск, ул. Базовая, 16","M, V, L",,52.129944444444,26.1289
101121,"г. Дрогичин, ул. Ленина, 2","M, V, L",,52.188,25.12393889
101125,"г. Кобрин, ул. Советская, 141а","M, V, L",M,52.206213888889,24.32228889
101132,"г. Малорита, ул. Советская, 126/1","M, V, L",,51.7842,24.05511944
101141,"г. Ляховичи, ул. Орловского, 6","M, V, L",,53.041869444444,26.24571111
101156,"г. Брест, ул. Мошенского, 31Г","M, V, L",M,52.112816666667,23.73984167
101170,"г. Барановичи, ул. Чернышевского, 11","M, V, L",,53.123944444444,26.01725
101213,"г. Брест, ул. Екельчика ","M, V, L",,52.066019,23.708614
101216,"г. Ивацевичи, ул. Максима Танка","M, V, L",,52.708756,25.31736
101249,"г. Кобрин, ул. Дзержинского, 78/9","M, V, L",,52.193286111111,24.333325
101268,"г. Брест, пр-т Машерова, 6 А","M, V, L",,52.086527777778,23.67913889
101286,"г. Барановичи, ул. Фестивальная, 16а","M, V, L",M,53.125061111111,26.062825
101319,"г. Ивацевичи, ул. В. Клютко, д.14","M, V, L",,52.711283,25.351561
101384,"г. Брест, ул. Московская, д. 273в","M, V, L",,52.097375,23.767499
101392,"г. Кобрин, в р-не ул. Дружбы - Интернациональная","M, V, L",,52.194994,24.356972
101487,"г. Барановичи, привокзальная площадь станции Барановичи-Полесские","M, V, L",,53.128277,26.044033
101489,"г. Брест, ул. Луцкая, д. 65","M, V, L",,52.078514,23.762131
101492,"г. Кобрин, ул. Советская, д. 83","M, V, L",,52.211117,24.348083
101610,"г. Брест, ул. Московская, д. 263","M, V, L",,52.097197,23.754747
101674,"г. Пружаны, ул. Парковая, д. 3а","M, V, L",,52.56975,24.461264
101697,"г. Пружаны, ул. Маяковского, д. 9/1","M, V, L",,52.560183,24.465186
101758,"г. Жабинка, ул. Калинина, 1","M, V, L",,52.186486111111,23.97524167
101787,"п. Речица, ул. Промышленная, 1","M, V, L",,51.849777813202,26.77819428143
101987,"г. Ляховичи, ул. Южакова, 16а","M, V, L",,53.036755555556,26.27244722
102284,"г. Пинск, ул. Ожешко, д. 32б","M, V, L",,52.139391666,26.027302777
102291,"г. Брест, ул. Гвардейская, 19а","M, V, L",,52.055111111111,23.74313056
102701,"г. Брест, ул. Кирова, 82","M, V, L",M,52.090383333333,23.70400833
102702,"г. Брест, ул. Дзержинского, 3","M, V, L","M, L",52.08825,23.68727778
102703,"г. Брест, ул. Орджоникидзе, 16/1","M, V, L",M,52.100333333333,23.68583333
102704,"г. Брест, ул. Пушкинская, 100/1","M, V, L","M, L",52.101916666667,23.70373611
102705,"г. Брест, ул. Молодогвардейская, 5","M, V, L",M,52.103733333333,23.75308333
102706,"г. Брест, ул. Московская, 348/3","M, V, L",M,52.105638888889,23.77388889
102707,"г. Брест, ул. Янки Купалы, 12/2","M, V, L",M,52.10355,23.73007778
102708,"г. Брест, ул. Дубровская, 36","M, V, L",M,52.132388894645,23.6493335
102709,"г. Брест, ул. Гоголя, 2 ","M, V, L",M,52.088641666667,23.67390833
102710,"г. Брест, ул. Героев Обороны Брестской крепости, 53","M, V, L",,52.091227777778,23.645625
102712,"г. Брест, ул. Ленинградская, 15А-1","M, V, L",,52.109944456286,23.76752762
102713,"г. Брест, ул. Скрипникова, 91","M, V, L",,52.107077777778,23.71553889
102716,"г. Брест, ул. Лактионова, 11","M, V, L",M,52.097083333333,23.78521944
102718,"г. Брест, ул. Сябровская, 107-2","M, V, L",,52.069202777778,23.72191111
102719,"г. Брест, пер. 3-й заводской, 34","M, V, L",,52.107930555556,23.73608611
102720,"г. Брест, ул. Луцкая, 46А-1","M, V, L",,52.078825,23.74941667
102721,"г. Брест, ул. Гоголя, 75","M, V, L",,52.094741666667,23.70213611
102722,"г. Брест, ул. Советской Конституции, 1","M, V, L",M,52.099416666667,23.751
102723,"г. Брест, ул. Суворова, 96/2","M, V, L",M,52.072025,23.75096944
102724,"г. Брест, бул. Шевченко, 6","M, V, L",M,52.085777777778,23.7045
102725,"г. Брест, ул. К. Маркса, 88","M, V, L",M,52.084383333333,23.68959167
102726,"г. Брест, ул. Рябиновая, 4-2","M, V, L",M,52.0671,23.72918333
102727,"г. Кобрин, ул. Настасича, 7/102","M, V, L",M,52.231111111111,24.37888889
102729,"г. Кобрин, ул. Дзержинского, 83","M, V, L",M,52.198580555556,24.34380556
102730,"г. Брест, ул. Медицинская, 7","M, V, L",M,52.106252777778,23.81493889
102731,"г. Пружаны, ул. Советская, 10 ","M, V, L",,52.559166666667,24.45722222
102740,"г. Берёза, ул. Ленина, 61","M, V, L",M,52.534033333333,24.98485833
102744,"г. Ивацевичи, ул. Ленина, 57","M, V, L",M,52.713027777778,25.34288889
102750,"г. Барановичи, ул. Глинки, 44","M, V, L",M,53.136472222222,25.98269444
102751,"г. Барановичи, ул. Чкалова, 2","M, V, L",M,53.130138888889,26.02494444
102752,"г. Барановичи, ул. Жукова, 16-2","M, V, L",M,53.152177777778,26.00190833
102753,"г. Барановичи, ул. Брестская, 287А","M, V, L",,53.110102777778,25.96955833
